site_code,SppRich,Simp,Shan,EvenJ,E10,Abund,S_PIE,Turnover,Turnover_app,Turnover_disapp,rare.sppRich,ept_spp_richness,ept_abundance,crustacea_spp_richness,crustacea_abundance,diptera_spp_richness,diptera_abundance,mollusc_spp_richness,mollusc_abundance,insect_spp_richness,insect_abundance,annelid_spp_richness,annelid_abundance
LTR401_2020,20,0.469085103,1.193584724,0.398428369,0.059679236,484,1.886992881,0.837837838,0.378378378,0.459459459,15.90507071,6,20,2,37,2,28,5,44,11,52,2,351
LTR41_2010,15,0.83274393,2.206556039,0.814813565,0.147103736,536,6.035019783,NA,NA,NA,13.35195598,7,201,0,0,4,247,0,0,14,498,1,38
LTR41_2012,31,0.948499655,3.172061823,0.92372558,0.102324575,4275,19.50138004,0.756756757,0.594594595,0.162162162,25.25416876,13,2147,2,62,3,552,5,690,22,3138,2,385
LTR41_2013,22,0.903844764,2.637601378,0.853304805,0.119890972,655,10.551505,0.567567568,0.162162162,0.405405405,17.49441413,7,232,0,0,3,168,4,86,13,484,5,85
LTR41_2014,43,0.950615402,3.318519953,0.88230348,0.077174883,3645,20.35676189,0.725490196,0.568627451,0.156862745,29.0036437,20,2393,0,0,2,126,7,546,32,2919,4,180
LTR41_2015,39,0.937439103,3.176712151,0.867110331,0.081454158,741,16.31478727,0.535714286,0.232142857,0.303571429,27.63467225,16,368,0,0,5,68,7,151,28,539,4,51
LTR41_2016,28,0.939669378,3.002593882,0.901083314,0.107235496,2527,16.67816831,0.543478261,0.152173913,0.391304348,22.42827556,9,1086,0,0,2,97,8,872,17,1554,3,101
LTR41_2017,6,0.736570248,1.493309627,0.833431971,0.248884938,88,3.922131148,0.866666667,0.066666667,0.8,6,2,45,0,0,1,18,0,0,4,64,2,24
LTR41_2020,18,0.892537828,2.453069239,0.848703712,0.136281624,349,9.533124019,0.8,0.7,0.1,15.23914765,5,149,0,0,1,38,7,81,10,261,1,7
LTR43_2010,30,0.905079539,2.673678775,0.786099269,0.089122626,436,10.77124035,NA,NA,NA,24.14236599,12,142,6,5,2,20,3,139,23,260,3,32
LTR43_2012,17,0.877879722,2.338738358,0.825472026,0.137572845,1217,8.237345119,0.763157895,0.210526316,0.552631579,15.49754485,2,129,0,0,4,87,6,804,9,254,2,159
LTR43_2013,31,0.942357882,3.088049459,0.899260619,0.099614499,941,17.65548902,0.666666667,0.527777778,0.138888889,29.03098806,11,322,0,0,1,75,8,328,19,553,4,60
LTR43_2014,30,0.911495845,2.764690179,0.812857905,0.092156339,380,11.61451613,0.70212766,0.340425532,0.361702128,25.54708894,5,29,6,30,0,0,7,183,15,90,6,76
