"","FRic.SES","FRic.SES.sig"
"LTR401_2020_5.10.2020",-1.24717002152831,0
"LTR41_2010_4.10.2010",-0.894905442498929,0
"LTR41_2012_1.10.2012",-2.44926393100258,1
"LTR41_2013_7.10.2013",-2.24662073038916,1
"LTR41_2014_6.10.2014",-1.98434674666952,1
"LTR41_2015_5.10.2015",-1.01066251274691,0
"LTR41_2016_3.10.2016",-2.43044527615467,1
"LTR41_2017_2.10.2017",-0.79914748729839,1
"LTR41_2020_5.10.2020",-1.73354200355624,1
"LTR43_2010_4.10.2010",-2.29063908426639,1
"LTR43_2012_1.10.2012",-1.53174993133464,1
"LTR43_2013_7.10.2013",-2.78798956635934,1
"LTR43_2014_6.10.2014",-0.349468779733768,0
"LTR43_2015_5.10.2015",-1.42831967294742,0
"LTR43_2016_3.10.2016",-0.169743806419241,0
"LTR43_2017_2.10.2017",-1.16202401128979,0
"LTR43_2020_5.10.2020",-0.815934293431214,0
"LTR450_2010_7.10.2010",-2.04133738393604,1
"LTR450_2012_29.9.2012",0.613638098435442,0
"LTR450_2013_3.10.2013",-0.55932705896129,0
"LTR450_2014_7.10.2014",1.04862363176605,0
"LTR450_2015_8.10.2015",-1.04681874137129,0
"LTR450_2016_26.9.2016",-1.66176284342695,1
"LTR450_2017_4.10.2017",1.22446770125782,0
"LTR450_2020_12.10.2020",-0.566607142628844,0
"LTR50_2010_5.10.2010",NA,NA
"LTR50_2012_2.10.2012",-2.37659630536737,1
"LTR50_2013_8.10.2013",-0.0378099538219219,0
"LTR50_2014_7.10.2014",0.40730519483567,0
"LTR50_2015_6.10.2015",-0.443095411199556,0
"LTR50_2016_4.10.2016",0.629135791191024,0
"LTR50_2017_3.10.2017",0.712357635318995,0
"LTR50_2020_6.10.2020",-1.64693333231394,1
"LTR612_2010_11.10.2010",0.245458486824521,0
"LTR612_2011_12.9.2011",-0.279321930059382,0
"LTR612_2012_8.10.2012",-0.936506510158995,1
"LTR612_2013_25.9.2013",-0.555376431375078,0
"LTR612_2014_13.10.2014",-1.54474297181762,1
"LTR612_2015_12.10.2015",-2.02260132732801,1
"LTR612_2016_12.9.2016",-1.15269922749862,0
"LTR612_2017_4.10.2017",-0.0105232645246783,0
"LTR612_2020_14.9.2020",-1.83209547630298,1
"LTR62_2010_6.10.2010",-1.51122948379128,0
"LTR62_2012_3.10.2012",-0.388659152808578,0
"LTR62_2013_10.10.2013",-0.958755385815151,0
"LTR62_2014_8.10.2014",0.0258984958584475,0
"LTR62_2015_6.10.2015",-0.493975773504149,0
"LTR62_2016_4.10.2016",-0.287383649607091,0
"LTR62_2017_3.10.2017",-3.10308188061263,1
"LTR62_2020_12.10.2020",-0.875758901256076,0
"LTR65_2010_6.10.2010",-1.21193489295535,0
"LTR65_2012_3.10.2012",-1.94449268029272,1
"LTR65_2013_10.10.2013",-0.00383428589677133,0
"LTR65_2014_8.10.2014",-1.64084162482805,1
"LTR65_2015_6.10.2015",-1.54499985990193,0
"LTR65_2016_4.10.2016",-1.2703105093341,0
"LTR65_2017_3.10.2017",-1.48118346684302,1
"LTR65_2020_12.10.2020",-1.40399881757145,0
"LTR70_2010_4.10.2010",-0.675158868952817,0
"LTR70_2012_1.10.2012",-0.821053490087825,0
"LTR70_2013_7.10.2013",-0.396621238811573,0
"LTR70_2014_2.10.2014",-2.24691355599669,1
"LTR70_2015_5.10.2015",-1.34735838170421,0
"LTR70_2016_17.10.2016",-0.137783221520068,0
"LTR70_2017_16.10.2017",-1.56235335723285,0
"LTR70_2020_5.10.2020",-1.1188373606163,0
"LTR78_2010_12.10.2010",3.22328986442197,1
"LTR78_2011_13.9.2011",-0.0988417782449642,0
