site_code,flow,temp,sus_solid,alkalinity,o2_dis,pH,EC,BOD7,NH4-N,NO2-N,NO3-N,mineral-N,Tot-N,PO4-P,Tot-P
LTR133_2020,37.858,9.292,3.896,5.025,11.367,8.367,543.75,2.142,0.023,0.008,1.251,1.281,1.589,0.02,0.047
LTR1348_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1348_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1348_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1348_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1348_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1348_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1348_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1348_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR137_2010,40.808,10.392,8.758,5.125,7.729,7.617,626.083,3.575,0.1,0.028,2.643,2.771,4.183,0.083,0.15
LTR137_2012,27.164,10.092,6.758,5.5,10.172,8.227,674.917,2.908,0.066,0.018,2.721,2.804,4.067,0.093,0.128
LTR137_2013,56.6,10.1,11.733,5.2,8.666,8.11,640.833,2.742,0.096,0.021,2.853,2.97,4.6,0.086,0.143
LTR137_2014,37.109,11.417,8.017,5.013,8.688,8.194,627.583,3.142,0.078,0.02,2.788,2.885,4.48,0.092,0.151
LTR137_2015,13.42,10.508,3.839,4.942,9.301,8.053,642.75,2.533,0.062,0.012,2.768,2.842,3.782,0.084,0.122
LTR137_2016,18.126,12.142,7.8,4.975,8.52,8.235,637.25,5.642,0.133,0.021,4.176,4.33,5.633,0.105,0.159
LTR137_2017,36.475,10.533,15.271,5.158,8.452,8.223,650.833,4.35,0.145,0.019,4.665,4.829,5.992,0.115,0.168
LTR137_2020,9.458,11.633,6.983,5.108,9.289,7.935,678.833,4.233,0.054,0.015,3.49,3.56,4.39,0.161,0.213
LTR1438_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1438_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1438_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1438_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1438_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1438_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1438_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1438_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1462_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1462_2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1462_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1462_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1462_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1462_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1462_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1462_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1462_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR161_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR161_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR161_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
